Filename	Regions	Missed Regions	Region Cover	Functions	Missed Functions	Function Cover	Branches	Missed Branches	Branch Cover
action/agent.rs	507	94	81.46%	31	1	96.77%	0	0	-
action/confirm.rs	545	61	88.81%	40	4	90.00%	0	0	-
action/diff.rs	1452	198	86.36%	46	3	93.48%	0	0	-
action/git.rs	910	107	88.24%	36	4	88.89%	0	0	-
action/misc.rs	214	10	95.33%	16	0	100.00%	0	0	-
action/mod.rs	1726	349	79.78%	37	0	100.00%	0	0	-
action/modal.rs	638	28	95.61%	38	0	100.00%	0	0	-
action/navigation.rs	371	57	84.64%	32	6	81.25%	0	0	-
action/picker.rs	508	49	90.35%	68	6	91.18%	0	0	-
action/preview.rs	260	19	92.69%	12	0	100.00%	0	0	-
action/text_input.rs	739	60	91.88%	112	4	96.43%	0	0	-
agent/instance.rs	324	19	94.14%	27	0	100.00%	0	0	-
agent/status.rs	94	3	96.81%	13	0	100.00%	0	0	-
agent/storage.rs	2376	206	91.33%	142	12	91.55%	0	0	-
app/data.rs	1768	178	89.93%	113	6	94.69%	0	0	-
app/event.rs	103	21	79.61%	12	1	91.67%	0	0	-
app/handlers/agent_lifecycle.rs	2014	216	89.28%	78	8	89.74%	0	0	-
app/handlers/broadcast.rs	165	19	88.48%	7	1	85.71%	0	0	-
app/handlers/git_ops/merge.rs	449	273	39.20%	17	5	70.59%	0	0	-
app/handlers/git_ops/mod.rs	125	58	53.60%	3	2	33.33%	0	0	-
app/handlers/git_ops/open_pr.rs	284	63	77.82%	13	2	84.62%	0	0	-
app/handlers/git_ops/push.rs	70	22	68.57%	3	1	66.67%	0	0	-
app/handlers/git_ops/rebase.rs	117	56	52.14%	4	2	50.00%	0	0	-
app/handlers/git_ops/rename.rs	447	97	78.30%	17	5	70.59%	0	0	-
app/handlers/mod.rs	1517	195	87.15%	64	0	100.00%	0	0	-
app/handlers/preview.rs	1943	260	86.62%	46	3	93.48%	0	0	-
app/handlers/swarm.rs	1306	163	87.52%	64	11	82.81%	0	0	-
app/handlers/sync.rs	1170	200	82.91%	50	9	82.00%	0	0	-
app/handlers/window.rs	373	23	93.83%	13	0	100.00%	0	0	-
app/settings.rs	349	60	82.81%	26	1	96.15%	0	0	-
app/sidebar.rs	488	10	97.95%	22	3	86.36%	0	0	-
app/state/command_palette.rs	127	6	95.28%	17	0	100.00%	0	0	-
app/state/git_op.rs	364	46	87.36%	31	5	83.87%	0	0	-
app/state/input.rs	423	4	99.05%	43	1	97.67%	0	0	-
app/state/lifecycle.rs	185	46	75.14%	15	5	66.67%	0	0	-
app/state/mod.rs	26	0	100.00%	3	0	100.00%	0	0	-
app/state/models.rs	337	34	89.91%	40	2	95.00%	0	0	-
app/state/navigation.rs	122	15	87.70%	17	2	88.24%	0	0	-
app/state/review.rs	358	16	95.53%	35	3	91.43%	0	0	-
app/state/scroll.rs	64	12	81.25%	7	0	100.00%	0	0	-
app/state/settings_menu.rs	69	5	92.75%	10	0	100.00%	0	0	-
app/state/spawn.rs	278	6	97.84%	27	1	96.30%	0	0	-
